,counts,id
了,33012,1
很,23091,2
吃,17847,3
是,16398,4
也,16130,5
不错,13828,6
好,12143,7
味道,12019,8
，,11729,9
都,10817,10
还,9421,11
好吃,9200,12
就,8257,13
有,8063,14
我,7723,15
不,7530,16
和,7426,17
 ,6583,18
可以,6208,19
去,6152,20
来,6102,21
点,5988,22
…,5926,23
在,5853,24
还是,5507,25
。,5495,26
环境,5314,27
服务,5279,28
人,4557,29
喜欢,4440,30
没有,4354,31
就是,4214,32
服务员,4071,33
口味,3866,34
多,3856,35
感觉,3736,36
比较,3691,37
?,3685,38
菜,3674,39
有点,3612,40
店,3602,41
这家,3466,42
说,3341,43
非常,3306,44
到,3219,45
一个,3141,46
没,2973,47
要,2915,48
一般,2893,49
！,2889,50
但是,2841,51
挺,2748,52
再,2705,53
我们,2573,54
还有,2557,55
上,2541,56
特别,2518,57
蛮,2493,58
新鲜,2424,59
推荐,2419,60
真的,2409,61
不是,2399,62
下次,2365,63
里面,2269,64
会,2239,65
又,2238,66
啊,2179,67
很多,2161,68
不过,2161,69
价格,2157,70
但,2107,71
这个,1975,72
大,1968,73
~,1939,74
小,1893,75
朋友,1880,76
觉得,1880,77
最,1880,78
菜品,1866,79
给,1864,80
牛肉,1812,81
个,1779,82
量,1776,83
时候,1773,84
过,1757,85
东西,1741,86
肉,1741,87
性价比,1642,88
所以,1621,89
想,1614,90
一直,1595,91
太,1565,92
什么,1559,93
着,1553,94
哦,1551,95
等,1540,96
套餐,1538,97
口感,1468,98
这里,1447,99
买,1434,100
元,1429,101
其他,1422,102
一家,1418,103
做,1415,104
因为,1411,105
里,1399,106
一份,1393,107
：,1393,108
这,1359,109
排队,1339,110
而且,1337,111
两个,1336,112
啦,1330,113
？,1314,114
海鲜,1268,115
看,1256,116
家,1238,117
能,1219,118
他们,1202,119
一,1201,120
点评,1193,121
服务态度,1184,122
不会,1171,123
汤,1169,124
知道,1162,125
比,1159,126
热情,1158,127
地方,1158,128
才,1149,129
高,1148,130
总体,1146,131
自己,1138,132
今天,1137,133
送,1123,134
#,1112,135
看到,1108,136
赞,1102,137
虾,1101,138
得,1100,139
中午,1100,140
一点,1096,141
完,1095,142
以后,1091,143
超级,1091,144
让,1089,145
实惠,1082,146
餐厅,1080,147
还会,1080,148
你,1066,149
最后,1065,150
一下,1063,151
特色,1046,152
面,1042,153
团购,1041,154
烤,1027,155
上菜,1022,156
现在,1022,157
态度,1011,158
爱,1007,159
第一次,1005,160
饭,1004,161
适合,998,162
辣,998,163
上海,996,164
2,991,165
少,985,166
用,983,167
饮料,981,168
店里,980,169
一样,977,170
芝士,973,171
牛蛙,967,172
干净,965,173
选择,963,174
鱼,957,175
个人,957,176
每次,947,177
～,933,178
叫,926,179
已经,926,180
虽然,924,181
起来,924,182
老板,913,183
味,911,184
入味,908,185
应该,907,186
呢,896,187
那么,896,188
蛋糕,893,189
喝,870,190
跟,865,191
装修,854,192
过来,854,193
老,852,194
以前,852,195
嫩,849,196
这次,837,197
【,837,198
】,835,199
中,833,200
可能,827,201
龙虾,818,202
他家,816,203
经常,816,204
其实,813,205
；,812,206
附近,808,207
一次,802,208
值得,796,209
生意,795,210
那个,794,211
带,785,212
很大,782,213
算,773,214
一起,771,215
香,771,216
加,771,217
来说,770,218
下,768,219
拿,765,220
吃饭,760,221
更,759,222
实在,754,223
被,753,224
之前,745,225
出来,744,226
晚上,743,227
-,732,228
真心,729,229
火锅,729,230
不能,721,231
只有,721,232
好喝,721,233
开,719,234
对,717,235
后,716,236
然后,716,237
便宜,715,238
鸡,713,239
的话,713,240
满意,704,241
位置,703,242
足,698,243
那,685,244
一般般,685,245
正好,679,246
方便,677,247
时间,676,248
把,673,249
划算,656,250
选,651,251
尝试,651,252
食材,643,253
不要,643,254
这么,642,255
色拉,640,256
招牌,637,257
面包,635,258
发现,634,259
牛排,633,260
行,632,261
茶,631,262
酱,630,263
这样,626,264
速度,626,265
找,626,266
蔬菜,618,267
甜品,618,268
贵,617,269
像,615,270
3,615,271
三文鱼,615,272
好多,610,273
倒,607,274
只能,598,275
几个,597,276
哈哈,592,277
完全,590,278
基本,589,279
正宗,589,280
有些,589,281
品种,588,282
活动,587,283
随便,587,284
甜,582,285
光顾,581,286
走,581,287
优惠,580,288
希望,571,289
很棒,570,290
开始,566,291
好像,566,292
咖啡,566,293
4,566,294
5,565,295
如果,565,296
大家,563,297
蟹,561,298
美味,561,299
外面,559,300
结果,557,301
差不多,555,302
上来,555,303
店家,548,304
大众,545,305
菜单,540,306
咖喱,540,307
一定,538,308
棒,537,309
号,535,310
快,533,311
没什么,531,312
不用,530,313
小龙虾,529,314
披萨,526,315
锅底,519,316
直接,518,317
不够,516,318
坐,513,319
本来,510,320
只,509,321
路过,505,322
巧克力,505,323
进去,502,324
差,502,325
豆腐,501,326
店面,499,327
只是,494,328
问,492,329
拔草,489,330
门口,488,331
外卖,486,332
一些,482,333
锅,482,334
榴莲,481,335
块,480,336
居然,479,337
失望,475,338
水果,475,339
哒,472,340
怎么,472,341
咸,471,342
配,470,343
真是,469,344
芒果,468,345
除了,468,346
几次,467,347
需要,466,348
这种,465,349
浓郁,465,350
同事,464,351
热,458,352
奶茶,457,353
另外,455,354
分量,454,355
么,454,356
买单,453,357
好评,450,358
刺身,449,359
不好,449,360
放,449,361
...,449,362
后来,448,363
必点,448,364
不算,448,365
最近,446,366
客人,444,367
寿司,444,368
换,442,369
第二次,442,370
小时,441,371
酥,441,372
他,439,373
可惜,439,374
生,438,375
还好,438,376
试试,436,377
旁边,434,378
一如既往,432,379
等位,431,380
粥,430,381
她,428,382
拼盘,428,383
年糕,427,384
之后,425,385
自助,423,386
人气,423,387
